time_of_the_match,match_meta,match_event,team_1,team_2,URL
03:00,bo3,La Liga Pro 2021 Clausura South,River Plate,Stone,https://www.hltv.org/matches/2352592/river-plate-vs-stone-la-liga-pro-2021-clausura-south
11:10,bo3,ESL Proximus Benelux Winter Championship 2021 Finals,EC Brugge,LowLandLions,https://www.hltv.org/matches/2352521/ec-brugge-vs-lowlandlions-esl-proximus-benelux-winter-championship-2021-finals
12:00,bo1,PGL Major Stockholm 2021,Evil Geniuses,FaZe,https://www.hltv.org/matches/2352475/evil-geniuses-vs-faze-pgl-major-stockholm-2021
12:00,bo1,PGL Major Stockholm 2021,G2,Copenhagen Flames,https://www.hltv.org/matches/2352476/g2-vs-copenhagen-flames-pgl-major-stockholm-2021
13:15,bo1,PGL Major Stockholm 2021,Gambit,ENCE,https://www.hltv.org/matches/2352477/gambit-vs-ence-pgl-major-stockholm-2021
13:15,bo1,PGL Major Stockholm 2021,Liquid,Entropiq,https://www.hltv.org/matches/2352478/liquid-vs-entropiq-pgl-major-stockholm-2021
14:30,bo1,PGL Major Stockholm 2021,Vitality,Virtus.pro,https://www.hltv.org/matches/2352479/vitality-vs-virtuspro-pgl-major-stockholm-2021
14:30,bo1,PGL Major Stockholm 2021,Natus Vincere,Heroic,https://www.hltv.org/matches/2352480/natus-vincere-vs-heroic-pgl-major-stockholm-2021
14:40,bo3,ESL Proximus Benelux Winter Championship 2021 Finals,Project Eversio,Game Fist,https://www.hltv.org/matches/2352522/project-eversio-vs-game-fist-esl-proximus-benelux-winter-championship-2021-finals
15:45,bo1,PGL Major Stockholm 2021,NIP,MOUZ,https://www.hltv.org/matches/2352481/nip-vs-mouz-pgl-major-stockholm-2021
15:45,bo1,PGL Major Stockholm 2021,FURIA,Astralis,https://www.hltv.org/matches/2352482/furia-vs-astralis-pgl-major-stockholm-2021
16:10,bo3,Ace X Stockholm Open 2021,Young Ninjas,iNation,https://www.hltv.org/matches/2352625/young-ninjas-vs-ination-ace-x-stockholm-open-2021
17:00,bo3,ESL Polish Championship Autumn 2021 Play-In,ESCA,PACT,https://www.hltv.org/matches/2352624/esca-vs-pact-esl-polish-championship-autumn-2021-play-in
18:30,bo3,Ace X Stockholm Open 2021,Lilmix,StoichkovPeek,https://www.hltv.org/matches/2352626/lilmix-vs-stoichkovpeek-ace-x-stockholm-open-2021
20:00,bo3,ESL Polish Championship Autumn 2021 Play-In,Wisla Krakow,UNGENTIUM,https://www.hltv.org/matches/2352621/wisla-krakow-vs-ungentium-esl-polish-championship-autumn-2021-play-in
00:10,bo3,La Liga Pro 2021 Clausura South,Leviatan,Furious,https://www.hltv.org/matches/2352593/leviatan-vs-furious-la-liga-pro-2021-clausura-south
